# Topic 1 is dependent on Topic 2 with a weight of x out of 100
# A topic can be a directory or file in the catalogue directory
# E.g. dir1/dir2/Topic One; dir4/Topic Two/video.mp4; 50

Basics/Trigonometry; Basics/Geometry; 90
Basics/Trigonometry/test.pdf; Basics/Geometry/video.mp4; 10
Basics/Geometry; Basics/Algebra/video.mp4; 10

Differentiation; Basics; 100

Differential Equations; Differentiation; 100
Differential Equations; Differentiation/Basics; 100
Differential Equations; Differentiation/Further; 50
Differential Equations; Differentiation/Partial Derivatives; 30
